segment,start,end,symbol,timeframe,profile_name,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,total_commission,skipped_trades,partial_size_trades,signals,trade_csv,diagnostics
segment_2024_h2,2024-07-01,2024-12-31,EUR_USD,4h,eur_usd_4h,26,0.4230769230769231,0.388873076923077,0.388873076923077,2.3111197562082606,-3.8764000000000003,0.009009999999999994,0.017289,0.0,0,0,26,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\EUR_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 26}"
segment_2024_h2,2024-07-01,2024-12-31,GBP_USD,4h,gbp_usd_4h,20,0.25,-0.10307,-0.10307,0.7154609576656038,-3.5221,0.011296,-0.003793999999999999,0.0,0,0,20,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\GBP_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 20}"
segment_2024_h2,2024-07-01,2024-12-31,USD_JPY,4h,usd_jpy_4h,23,0.5217391304347826,0.24009999999999998,0.24009999999999998,2.0287252472942012,-2.732,3.005235,2.9871090000000002,0.0,0,0,23,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\USD_JPY_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 23}"
segment_2024_h2,2024-07-01,2024-12-31,AUD_USD,4h,aud_usd_4h,20,0.35,0.041735,0.041735,1.1717030423960668,-2.5827,0.006840999999999999,0.005562000000000002,0.0,0,0,20,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\AUD_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 20}"
segment_2024_h2,2024-07-01,2024-12-31,AUD_CHF,4h,aud_chf_4h,16,0.4375,-0.09705625000000001,-0.09705625000000001,0.6533086265404536,-2.5780000000000003,0.008706000000000002,-0.004834000000000001,0.0,0,0,16,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\AUD_CHF_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 16}"
segment_2024_h2,2024-07-01,2024-12-31,USD_CAD,4h,usd_cad_4h,18,0.4444444444444444,0.1831333333333333,0.1831333333333333,1.600546547640736,-3.9574,0.009886,-0.0008059999999999994,0.0,0,0,18,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\USD_CAD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 18}"
segment_2024_h2,2024-07-01,2024-12-31,USD_CHF,4h,usd_chf_4h,20,0.3,-0.19236999999999999,-0.19236999999999999,0.4087199741812536,-3.7892,0.009334000000000002,-0.007621000000000001,0.0,0,0,20,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\USD_CHF_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 20}"
segment_2024_h2,2024-07-01,2024-12-31,NZD_USD,4h,nzd_usd_4h,12,0.3333333333333333,-0.07916666666666662,-0.07916666666666662,0.8047998684967536,-2.4505999999999997,0.006187,-0.0009539999999999991,0.0,0,0,12,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\NZD_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 12}"
segment_2024_h2,2024-07-01,2024-12-31,EUR_GBP,4h,eur_gbp_4h,19,0.3157894736842105,0.1824684210526316,0.1824684210526316,1.4511666644977426,-4.4867,0.010471000000000001,-0.002187000000000001,0.0,0,0,19,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\EUR_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2024_h2,2024-07-01,2024-12-31,EUR_JPY,4h,eur_jpy_4h,23,0.43478260869565216,0.3455956521739131,0.3455956521739131,2.231898208418573,-3.8468999999999998,3.9172809999999996,2.481592000000001,0.0,0,0,23,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\EUR_JPY_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 23}"
segment_2024_h2,2024-07-01,2024-12-31,GBP_JPY,4h,gbp_jpy_4h,23,0.4782608695652174,0.12743478260869565,0.12743478260869565,1.4969649699888092,-3.4413,6.226597,-0.4347550000000002,0.0,0,0,23,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\GBP_JPY_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 23}"
segment_2024_h2,2024-07-01,2024-12-31,BTC_USD,4h,btc_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\BTC_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2024_h2,2024-07-01,2024-12-31,ETH_USD,4h,eth_usd_4h,2,0.0,-1.0,-1.0,0.0,-1.0,74.255007,-119.33803700000001,0.0,0,0,2,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\ETH_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 2}"
segment_2024_h2,2024-07-01,2024-12-31,LTC_USD,4h,ltc_usd_4h,23,0.34782608695652173,-0.06817826086956522,-0.06817826086956522,0.8723586103604336,-3.7601999999999993,19.421837,0.6816240000000029,0.0,0,0,23,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\LTC_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 23}"
segment_2024_h2,2024-07-01,2024-12-31,BCH_USD,4h,bch_usd_4h,13,0.15384615384615385,-0.25040000000000007,-0.25040000000000007,0.39836617011052383,-5.4106000000000005,79.413209,-28.808209,0.0,0,0,13,output\research\little_rzy_4h_expanded\packet_a\segment_2024_h2\BCH_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 13}"
segment_2025_h1,2025-01-01,2025-06-30,WTICO_USD,4h,wtico_usd_4h,21,0.42857142857142855,0.3658190476190476,0.3658190476190476,2.6297946367956553,-3.1756000000000006,3.3665570000000007,5.15159,0.0,0,0,21,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2025_h1,2025-01-01,2025-06-30,BCO_USD,4h,bco_usd_4h,18,0.3888888888888889,0.2408222222222223,0.2408222222222223,1.6346055309119123,-3.4113,2.9299999999999997,4.184633999999999,0.0,0,0,18,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 18}"
segment_2025_h1,2025-01-01,2025-06-30,XAG_USD,4h,xag_usd_4h,18,0.3888888888888889,-0.05797777777777777,-0.05797777777777777,0.8500553168867369,-2.2626,1.1921140000000001,-0.6450990000000001,0.0,0,0,18,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 18}"
segment_2025_h1,2025-01-01,2025-06-30,XAU_USD,4h,xau_usd_4h,5,0.2,-0.5586,-0.5586,0.30175,-2.0,24.522233999999997,-14.998855999999998,0.0,0,0,5,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\XAU_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 5}"
segment_2025_h1,2025-01-01,2025-06-30,UK100_GBP,4h,uk100_gbp_4h,2,0.5,1.35685,1.35685,3.7137,-1.0,3.770151999999996,95.263181,0.0,0,0,2,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 2}"
segment_2025_h1,2025-01-01,2025-06-30,NAS100_USD,4h,nas100_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\NAS100_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2025_h1,2025-01-01,2025-06-30,US30_USD,4h,us30_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\US30_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2025_h1,2025-01-01,2025-06-30,SPX500_USD,4h,spx500_usd_4h,2,0.5,0.5237,0.5237,2.0474,-1.0,3.9580309999999983,58.341969,0.0,0,0,2,output\research\little_rzy_4h_expanded\packet_a\segment_2025_h1\SPX500_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 2}"
